kode_produk,nama_produk,kategori,harga,stok
PRD0001,Kabel USB,Elektronik,399034,50
PRD0002,Charger HP,Elektronik,94009,157
PRD0003,Power Bank,Elektronik,450867,164
PRD0004,Mouse Wireless,Elektronik,472308,104
PRD0005,Keyboard,Elektronik,435580,110
PRD0006,Headset,Elektronik,272155,84
PRD0007,Speaker Bluetooth,Elektronik,47475,103
PRD0008,Kipas Angin Mini,Elektronik,352882,25
PRD0009,Lampu LED,Elektronik,98878,36
PRD0010,Adaptor,Elektronik,252323,83
PRD0011,Kabel HDMI,Elektronik,492642,64
PRD0012,Card Reader,Elektronik,5580,67
PRD0013,USB Hub,Elektronik,203103,61
PRD0014,Mouse Pad,Elektronik,236218,193
PRD0015,Webcam,Elektronik,141981,85
PRD0016,Microphone,Elektronik,160306,150
PRD0017,Remote TV,Elektronik,380998,147
PRD0018,Baterai AA,Elektronik,7995,67
PRD0019,Baterai AAA,Elektronik,344718,93
PRD0020,Charger Mobil,Elektronik,365210,61
PRD0021,Mie Instan,Makanan,34571,171
PRD0022,Biskuit,Makanan,63983,120
PRD0023,Keripik Kentang,Makanan,162854,41
PRD0024,Cokelat Batang,Makanan,214555,176
PRD0025,Permen,Makanan,265465,181
PRD0026,Kacang Goreng,Makanan,405618,80
PRD0027,Roti Tawar,Makanan,363910,31
PRD0028,Sereal,Makanan,336868,76
PRD0029,Abon Sapi,Makanan,194698,158
PRD0030,Dendeng,Makanan,117788,57
PRD0031,Kerupuk Udang,Makanan,72028,123
PRD0032,Kue Kering,Makanan,82313,117
PRD0033,Selai Kacang,Makanan,394028,156
PRD0034,Madu,Makanan,197887,107
PRD0035,Tepung Terigu,Makanan,370019,141
PRD0036,Gula Pasir,Makanan,480568,121
PRD0037,Kopi Bubuk,Makanan,399069,138
PRD0038,Teh Celup,Makanan,422476,171
PRD0039,Susu Bubuk,Makanan,434854,56
PRD0040, Agar-agar,Makanan,401433,64
PRD0041,Air Mineral,Minuman,358695,194
PRD0042,Jus Jeruk,Minuman,314378,21
PRD0043,Soft Drink,Minuman,277516,115
PRD0044,Teh Botol,Minuman,278914,181
PRD0045,Kopi Instan,Minuman,191679,20
PRD0046,Susu UHT,Minuman,482900,145
PRD0047,Yogurt,Minuman,60829,16
PRD0048,Minuman Isotonik,Minuman,436516,141
PRD0049,Sirup,Minuman,475373,130
PRD0050,Soda,Minuman,107988,147
PRD0051,Jus Mangga,Minuman,283364,39
PRD0052,Jus Apel,Minuman,88264,84
PRD0053,Minuman Berenergi,Minuman,449996,134
PRD0054,Air Kelapa,Minuman,233651,30
PRD0055,Susu Kedelai,Minuman,358670,53
PRD0056,Jahe Instan,Minuman,377871,150
PRD0057,Cincau,Minuman,258286,24
PRD0058,Es Krim,Minuman,473276,131
PRD0059,Milkshake,Minuman,235561,15
PRD0060,Kefir,Minuman,239729,34
PRD0061,Pensil 2B,Alat Tulis,271089,107
PRD0062,Bolpoin Hitam,Alat Tulis,241493,145
PRD0063,Penghapus,Alat Tulis,32270,144
PRD0064,Penggaris,Alat Tulis,244419,173
PRD0065,Buku Tulis,Alat Tulis,425056,79
PRD0066,Spidol,Alat Tulis,381207,6
PRD0067,Stabilo,Alat Tulis,209591,66
PRD0068,Lem Kertas,Alat Tulis,430056,1
PRD0069,Gunting,Alat Tulis,393016,56
PRD0070,Cutter,Alat Tulis,305201,19
PRD0071,Amplop,Alat Tulis,25744,109
PRD0072,Kertas HVS,Alat Tulis,182632,180
PRD0073,Map Plastik,Alat Tulis,35428,139
PRD0074,Binder,Alat Tulis,33591,18
PRD0075,Klip Kertas,Alat Tulis,491567,121
PRD0076,Isi Staples,Alat Tulis,18638,74
PRD0077,Tipe-X,Alat Tulis,216364,47
PRD0078,Pensil Warna,Alat Tulis,405162,35
PRD0079,Krayon,Alat Tulis,403514,165
PRD0080,Cat Air,Alat Tulis,384357,166
PRD0081,Sapu,Perlengkapan Rumah,222390,96
PRD0082,Pel,Perlengkapan Rumah,469315,98
PRD0083,Ember,Perlengkapan Rumah,237162,97
PRD0084,Lap Mikrofiber,Perlengkapan Rumah,198946,21
PRD0085,Gelas Kaca,Perlengkapan Rumah,359947,170
PRD0086,Piring,Perlengkapan Rumah,460518,139
PRD0087,Mangkok,Perlengkapan Rumah,71724,168
PRD0088,Sendok Set,Perlengkapan Rumah,453037,90
PRD0089,Garpu,Perlengkapan Rumah,64197,46
PRD0090,Pisau Dapur,Perlengkapan Rumah,283678,101
PRD0091,Talenan,Perlengkapan Rumah,279265,33
PRD0092,Panci,Perlengkapan Rumah,383607,58
PRD0093,Wajan,Perlengkapan Rumah,439686,1
PRD0094,Stoples,Perlengkapan Rumah,398455,6
PRD0095,Rak Piring,Perlengkapan Rumah,158428,119
PRD0096,Serbet,Perlengkapan Rumah,355107,185
PRD0097,Sikat Gigi,Perlengkapan Rumah,287446,109
